X,Z_upper,Z_lower
112,344.0,344.0
113,359.9687194226713,328.0312805773287
114,366.5388553391693,321.4611446608307
115,371.5499546279118,316.4500453720882
116,375.7490157327751,312.2509842672249
117,379.4259791678367,308.5740208321633
118,382.72983346207417,305.27016653792583
119,385.7492514902962,302.2507485097038
120,388.54211490264015,299.45788509735985
121,391.1487009365051,296.8512990634949
122,393.598387070549,294.401612929451
123,395.91338940966966,292.08661059033034
124,398.11099703387475,289.88900296612525
125,400.20498198558556,287.79501801441444
126,402.206528843421,285.793471156579
127,404.12487006222966,283.87512993777034
128,405.96773353931866,282.03226646068134
129,407.7416661219331,280.2583338780669
130,409.4522726878143,278.5477273121857
131,411.10439627923046,276.89560372076954
132,412.7022561492707,275.2977438507293
133,414.2495551587339,273.7504448412661
134,415.7495644586084,272.2504355413916
135,417.20519107276476,270.79480892723524
136,418.61903242471055,269.38096757528945
137,419.9934207678533,268.0065792321467
138,421.3304597167248,266.6695402832752
139,422.63205453248696,265.36794546751304
140,423.8999374217527,264.1000625782473
141,425.1356888181767,262.8643111818233
142,426.3407554009556,261.6592445990444
143,427.51646544245034,260.48353455754966
144,428.6640419540669,259.3359580459331
145,429.7846140050767,258.2153859949233
146,430.8792265158939,257.1207734841061
147,431.94884877018006,256.05115122981994
148,432.9943818451479,255.00561815485204
149,434.0166651237425,253.98333487625752
150,435.016482023862,252.983517976138
151,435.9945650568554,252.00543494314462
152,436.951600308978,251.04839969102198
153,437.888231424391,250.111768575609
154,438.80506315593067,249.19493684406933
155,439.7026645397086,248.29733546029138
156,440.5815717411971,247.41842825880292
157,441.4422906134703,246.55770938652972
158,442.2852990024449,245.7147009975551
159,443.1110488290786,244.88895117092142
160,443.91996797437434,244.08003202562563
161,444.71246198956715,243.28753801043288
162,445.4889156509222,242.5110843490778
163,446.2496943760714,241.75030562392863
164,446.9951455166699,241.00485448333012
165,447.7255995403256,240.27440045967438
166,448.44137111317525,239.55862888682475
167,449.1427600931229,238.85723990687708
168,449.8300524425836,238.16994755741638
169,450.50352106855433,237.49647893144567
170,451.1634265969505,236.8365734030495
171,451.81001808737443,236.18998191262557
172,452.4435336938077,235.55646630619233
173,453.0642012761291,234.9357987238709
174,453.6722389668416,234.32776103315842
175,454.26785569693465,233.73214430306535
176,454.8512516844081,233.14874831559186
177,455.422618888626,232.577381111374
178,455.98214143335537,232.01785856664463
179,456.5299960010663,231.4700039989337
180,457.0663522008206,230.93364779917943
181,457.59137291185453,230.40862708814547
182,458.1052146047673,229.8947853952327
183,458.60802764204607,229.39197235795393
184,459.09995655950524,228.90004344049473
185,459.5811403300729,228.41885966992712
186,460.05171261123206,227.94828738876794
187,460.5118019773104,227.48819802268957
188,460.96153213770754,227.03846786229244
189,461.401022142058,226.59897785794197
190,461.83038657324346,226.1696134267565
191,462.2497357290916,225.75026427090842
192,462.6591757935306,225.3408242064694
193,463.05880899790657,224.94119100209343
194,463.4487337731129,224.5512662268871
195,463.82904489313097,224.17095510686903
196,464.19983361053374,223.80016638946626
197,464.5611877844607,223.4388122155393
198,464.91319200153475,223.08680799846528
199,465.2559276901546,222.74407230984542
200,465.58947322856534,222.4105267714347
201,465.91390404707744,222.08609595292256
202,466.2292927247802,221.77070727521982
203,466.53570908106747,221.46429091893253
204,466.8332202622727,221.1667797377273
205,467.1218908236874,220.8781091763126
206,467.4017828072188,220.5982171927812
207,467.6729558149234,220.3270441850766
208,467.9354670786373,220.06453292136266
209,468.189371525908,219.81062847409203
210,468.43472184241824,219.56527815758176
211,468.6715685310809,219.32843146891912
212,468.89995996796796,219.10004003203204
213,469.11994245522976,218.88005754477027
214,469.3315602711464,218.66843972885363
215,469.5348557174461,218.46514428255392
216,469.7298691640137,218.27013083598632
217,469.9166390911066,218.08336090889338
218,470.09520212918494,217.9047978708151
219,470.26559309645677,217.7344069035432
220,470.42784503423286,217.57215496576714
221,470.58198924017586,217.41801075982414
222,470.7280552995271,217.2719447004729
223,470.8660711143842,217.13392888561577
224,470.99606293110037,217.00393706889963
225,471.1180553658685,216.88194463413154
226,471.23207142855136,216.76792857144864
227,471.3381325448116,216.66186745518843
228,471.4362585765919,216.5637414234081
229,471.5264678409937,216.4735321590063
230,471.6087771275942,216.39122287240582
231,471.6832017142427,216.31679828575727
232,471.7497553813705,216.2502446186295
233,471.80845042484475,216.19154957515525
234,471.85929766739685,216.14070233260313
235,471.9023064686482,216.0976935313518
236,471.9374847337558,216.0625152662442
237,471.9648389206973,216.03516107930272
238,471.98437404620927,216.01562595379073
239,471.99609369039354,216.00390630960646
240,472.0,216.0
241,471.99609369039354,216.00390630960646
242,471.98437404620927,216.01562595379073
243,471.9648389206973,216.03516107930272
244,471.9374847337558,216.0625152662442
245,471.9023064686482,216.0976935313518
246,471.85929766739685,216.14070233260313
247,471.80845042484475,216.19154957515525
248,471.7497553813705,216.2502446186295
249,471.6832017142427,216.31679828575727
250,471.6087771275942,216.39122287240582
251,471.5264678409937,216.4735321590063
252,471.4362585765919,216.5637414234081
253,471.3381325448116,216.66186745518843
254,471.23207142855136,216.76792857144864
255,471.1180553658685,216.88194463413154
256,470.99606293110037,217.00393706889963
257,470.8660711143842,217.13392888561577
258,470.7280552995271,217.2719447004729
259,470.58198924017586,217.41801075982414
260,470.42784503423286,217.57215496576714
261,470.26559309645677,217.7344069035432
262,470.09520212918494,217.9047978708151
263,469.9166390911066,218.08336090889338
264,469.7298691640137,218.27013083598632
265,469.5348557174461,218.46514428255392
266,469.3315602711464,218.66843972885363
267,469.11994245522976,218.88005754477027
268,468.89995996796796,219.10004003203204
269,468.6715685310809,219.32843146891912
270,468.43472184241824,219.56527815758176
271,468.189371525908,219.81062847409203
272,467.9354670786373,220.06453292136266
273,467.6729558149234,220.3270441850766
274,467.4017828072188,220.5982171927812
275,467.1218908236874,220.8781091763126
276,466.8332202622727,221.1667797377273
277,466.53570908106747,221.46429091893253
278,466.2292927247802,221.77070727521982
279,465.91390404707744,222.08609595292256
280,465.58947322856534,222.4105267714347
281,465.2559276901546,222.74407230984542
282,464.91319200153475,223.08680799846528
283,464.5611877844607,223.4388122155393
284,464.19983361053374,223.80016638946626
285,463.82904489313097,224.17095510686903
286,463.4487337731129,224.5512662268871
287,463.05880899790657,224.94119100209343
288,462.6591757935306,225.3408242064694
289,462.2497357290916,225.75026427090842
290,461.83038657324346,226.1696134267565
291,461.401022142058,226.59897785794197
292,460.96153213770754,227.03846786229244
293,460.5118019773104,227.48819802268957
294,460.05171261123206,227.94828738876794
295,459.5811403300729,228.41885966992712
296,459.09995655950524,228.90004344049473
297,458.60802764204607,229.39197235795393
298,458.1052146047673,229.8947853952327
299,457.59137291185453,230.40862708814547
300,457.0663522008206,230.93364779917943
301,456.5299960010663,231.4700039989337
302,455.98214143335537,232.01785856664463
303,455.422618888626,232.577381111374
304,454.8512516844081,233.14874831559186
305,454.26785569693465,233.73214430306535
306,453.6722389668416,234.32776103315842
307,453.0642012761291,234.9357987238709
308,452.4435336938077,235.55646630619233
309,451.81001808737443,236.18998191262557
310,451.1634265969505,236.8365734030495
311,450.50352106855433,237.49647893144567
312,449.8300524425836,238.16994755741638
313,449.1427600931229,238.85723990687708
314,448.44137111317525,239.55862888682475
315,447.7255995403256,240.27440045967438
316,446.9951455166699,241.00485448333012
317,446.2496943760714,241.75030562392863
318,445.4889156509222,242.5110843490778
319,444.71246198956715,243.28753801043288
320,443.91996797437434,244.08003202562563
321,443.1110488290786,244.88895117092142
322,442.2852990024449,245.7147009975551
323,441.4422906134703,246.55770938652972
324,440.5815717411971,247.41842825880292
325,439.7026645397086,248.29733546029138
326,438.80506315593067,249.19493684406933
327,437.888231424391,250.111768575609
328,436.951600308978,251.04839969102198
329,435.9945650568554,252.00543494314462
330,435.016482023862,252.983517976138
331,434.0166651237425,253.98333487625752
332,432.9943818451479,255.00561815485204
333,431.94884877018006,256.05115122981994
334,430.8792265158939,257.1207734841061
335,429.7846140050767,258.2153859949233
336,428.6640419540669,259.3359580459331
337,427.51646544245034,260.48353455754966
338,426.3407554009556,261.6592445990444
339,425.1356888181767,262.8643111818233
340,423.8999374217527,264.1000625782473
341,422.63205453248696,265.36794546751304
342,421.3304597167248,266.6695402832752
343,419.9934207678533,268.0065792321467
344,418.61903242471055,269.38096757528945
345,417.20519107276476,270.79480892723524
346,415.7495644586084,272.2504355413916
347,414.2495551587339,273.7504448412661
348,412.7022561492707,275.2977438507293
349,411.10439627923046,276.89560372076954
350,409.4522726878143,278.5477273121857
351,407.7416661219331,280.2583338780669
352,405.96773353931866,282.03226646068134
353,404.12487006222966,283.87512993777034
354,402.206528843421,285.793471156579
355,400.20498198558556,287.79501801441444
356,398.11099703387475,289.88900296612525
357,395.91338940966966,292.08661059033034
358,393.598387070549,294.401612929451
359,391.1487009365051,296.8512990634949
360,388.54211490264015,299.45788509735985
361,385.7492514902962,302.2507485097038
362,382.72983346207417,305.27016653792583
363,379.4259791678367,308.5740208321633
364,375.7490157327751,312.2509842672249
365,371.5499546279118,316.4500453720882
366,366.5388553391693,321.4611446608307
367,359.9687194226713,328.0312805773287
368,344.0,344.0
